query,gui_indexes,relevance
Body care products,"[20162, 53541, 31801, 53543, 2849, 31802, 53548, 63384, 53546, 58748, 28739, 45731, 63387, 28737, 4447, 51773, 35997, 1397, 60568, 42521]","[2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
settings and options in a Gym App,"[29156, 39830, 54112, 2274, 2270, 45959, 29162, 45956, 45962, 1010, 33132, 32997, 8252, 29160, 2601, 55121, 2610, 66489, 30328, 18535]","[1, 0, 2, 0, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 1, 0, 0, 0, 1, 0]"
today storms updates,"[1095, 37413, 64157, 52327, 11823, 23714, 59150, 50715, 1090, 71700, 13752, 27988, 58873, 10041, 13984, 54315, 62677, 58881, 70890, 29528]","[0, 2, 0, 2, 0, 0, 2, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 2, 2, 0]"
a survery app with sinup and facebook login option,"[37666, 19704, 20931, 34569, 19707, 15939, 67673, 18535, 7849, 49338, 4305, 57920, 49335, 69548, 41917, 49334, 25374, 49336, 71940, 49332]","[1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 1, 2, 0, 2, 0, 0, 0]"
down nearby picks,"[31953, 69266, 41693, 31955, 31964, 40197, 61556, 56093, 61554, 48252, 56082, 65194, 22258, 50216, 67203, 69276, 67770, 42641, 68626, 36790]","[2, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
screen with sample movies and information on recording with SnapMovie,"[19996, 20002, 29107, 37885, 65045, 65046, 20000, 71014, 65050, 15199, 18719, 15197, 65053, 65944, 44941, 23149, 44923, 6132, 67071, 20161]","[2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Filter settings for choosing price range, number of beds and baths","[68029, 63632, 2834, 71793, 71794, 65924, 64988, 65001, 27692, 68027, 50515, 65000, 2839, 71427, 64993, 34423, 64989, 27833, 16889, 3089]","[2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 0]"
Details about cards and numbers,"[43707, 3813, 3769, 46272, 23855, 31170, 28128, 62634, 22557, 46278, 63748, 28955, 13556, 20802, 50395, 40864, 56935, 28148, 37517, 68164]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1]"
"search bar with shopping categories, discount advertisement and account maintenance","[22741, 35904, 51361, 7334, 22744, 69527, 42815, 8170, 55532, 53884, 64428, 4186, 56464, 10423, 65757, 64303, 33330, 19345, 6911, 64305]","[1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0]"
home appliances,"[30791, 68770, 1087, 52944, 9286, 51323, 9281, 17689, 66317, 25966, 66313, 59601, 25962, 66310, 23920, 40668, 58913, 9285, 66314, 13575]","[0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0]"
blood test with data entry and unit selection,"[25151, 47501, 70705, 28111, 41104, 19249, 41116, 45400, 57505, 47504, 15987, 39287, 70706, 28106, 37821, 26562, 31788, 53187, 64939, 61736]","[2, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
profile window with a button to take a photo or select it from galary,"[43962, 38348, 28870, 19585, 56078, 38814, 29111, 36667, 1883, 63601, 63652, 63599, 52584, 46344, 14492, 34, 24596, 38290, 13038, 12865]","[1, 1, 1, 0, 0, 1, 0, 2, 2, 0, 1, 0, 2, 2, 0, 0, 0, 0, 1, 0]"
voice changer with many buttons,"[45268, 60021, 52822, 18567, 52821, 61544, 46993, 64422, 38430, 44680, 32898, 45162, 61201, 53403, 43372, 38432, 55271, 31727, 27391, 45489]","[2, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
