id,query,ranked_guis
386,web brower with list,"[1093, 1092, 25697, 3146, 21, 66247, 291, 19602, 34244, 7828, 53717, 26072, 45255, 26074, 63902, 1198, 27596, 62985, 8452, 1187, 66343, 30507, 39864, 47984, 12418, 41097, 11492, 37031, 4196, 16574, 16227]"
219,Tabs layout preview,"[69119, 64516, 47663, 28581, 68119, 47402, 35897, 27590, 51353, 28540, 31783, 27833, 69110, 44739, 14740, 41199, 52668, 63912, 63916, 52672, 63932, 69118, 41216, 41201, 41214, 41218, 71635, 41212, 41203, 71634, 22974]"
34,healthcare pulse app,"[60471, 36730, 42342, 26392, 35344, 62246, 65882, 63642, 31032, 15897, 42672, 31029, 42671, 44746, 63989, 42972, 42973, 32983, 62250, 32528, 44056, 26814, 65084, 65879, 37986, 32534, 24070, 4695, 65884, 31031, 25921]"
266,contact details form,"[13359, 66315, 25713, 2837, 15513, 64300, 64299, 3372, 71431, 65494, 66701, 15867, 54543, 39054, 39059, 59279, 30286, 15038, 15043, 36101, 65122, 48069, 64301, 36098, 19310, 18820, 36916, 18819, 64765, 46435, 48069]"
57,Navigation app with setting location and destination,"[1105, 8954, 31409, 48293, 50263, 54497, 5772, 70060, 63928, 45434, 61716, 36228, 5773, 43296, 36229, 36225, 35696, 2637, 19696, 65146, 68970, 31412, 42138, 51954, 43295, 42094, 41157, 12745, 9716, 37643, 52332]"
190,trending page,"[41406, 43752, 33055, 41402, 33043, 29710, 50095, 13923, 40125, 36458, 41400, 41401, 43663, 37665, 37681, 43754, 5311, 43661, 9161, 5314, 23157, 9154, 29705, 68321, 13879, 30761, 30766, 4133, 45116, 48240, 59599]"
384,Sidebar with homepage and other options,"[37797, 37795, 36460, 3573, 3576, 3577, 30733, 55490, 60645, 30942, 55493, 55492, 55494, 17819, 30941, 67559, 67553, 41355, 45615, 30463, 45735, 30944, 55491, 17073, 18455, 18457, 48902, 67561, 58241, 17057, 69790]"
149,Spanish news with figuers and search option,"[21463, 21948, 21949, 21946, 4661, 4668, 4645, 11569, 4656, 11580, 4658, 11567, 11563, 4663, 39389, 34567, 37720, 13050, 34565, 3754, 11588, 13049, 41498, 13047, 13054, 23116, 33907, 32711, 23117, 35413, 58638]"
192,side panel with share and settings,"[16246, 16250, 16247, 16249, 16242, 16244, 16253, 16243, 23934, 16251, 16252, 16245, 23927, 50471, 50505, 16254, 18042, 18039, 16248, 50507, 18035, 50506, 50489, 11241, 68962, 11236, 8684, 23928, 23930, 36751, 64805]"
101,Setting screen of a time planer,"[27956, 27957, 65804, 49273, 28512, 60660, 56055, 23582, 11299, 37550, 25614, 13542, 48673, 25095, 25387, 64278, 65970, 42712, 35458, 54151, 49276, 54300, 38719, 70104, 17625, 44624, 43714, 1394, 36176, 68461, 48465]"
122,Customer support notofication page,"[69330, 2779, 17569, 48828, 13320, 70857, 39395, 48827, 47944, 16893, 39754, 4543, 22441, 66025, 66031, 24587, 71900, 60448, 67522, 15337, 35290, 31811, 40128, 67967, 67969, 47416, 19154, 19153, 36537, 24594, 3232]"
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List","[57640, 51849, 55466, 33170, 12318, 45736, 23206, 10476, 12316, 23579, 21186, 13556, 38736, 66306, 12960, 62913, 18426, 46799, 62593, 45735, 62920, 18427, 15888, 46794, 62915, 66302, 22082, 66703, 23580, 64071, 57640]"
59,dictionary page  with words shown,"[61344, 61318, 61345, 61333, 61335, 61339, 25592, 61322, 61348, 61327, 8890, 61340, 1269, 61336, 61312, 61326, 42074, 29773, 8141, 8152, 61332, 8138, 61330, 50220, 30660, 27824, 61338, 41, 8891, 27722, 27349]"
367,complete your melody,"[46619, 63188, 36136, 38103, 30405, 38102, 32194, 32190, 20953, 52112, 70783, 2071, 23117, 13799, 65833, 43202, 23116, 39255, 32265, 43203, 69703, 70784, 13307, 49339, 32262, 50696, 52279, 70785, 32191, 1947, 46619]"
93,the latest updates of football matches,"[53555, 13984, 13752, 43108, 183, 19621, 8297, 6581, 2589, 17810, 39006, 644, 67634, 2508, 3223, 23102, 2512, 56084, 178, 29319, 71261, 13453, 38781, 630, 19624, 19620, 200, 53809, 194, 13746, 35010]"
238,2D model of solunar clock,"[54642, 54641, 54643, 30037, 24037, 45159, 24048, 24042, 3856, 69797, 23601, 24027, 3294, 54647, 18248, 68730, 8382, 69799, 40998, 24036, 24038, 66158, 34180, 45573, 60868, 31205, 44683, 44665, 11849, 44669, 54641]"
