id,query,ranked_guis
386,web brower with list,"[1187, 291, 20339, 34244, 1198, 21855, 66247, 25697, 7828, 21441, 26074, 16574, 26072, 68942, 18797, 62985, 64710, 43061, 14878, 64156, 37409, 36486, 14879, 6575, 28241, 53920, 6569, 14880, 40664, 64331, 16227]"
219,Tabs layout preview,"[20057, 69708, 13306, 22596, 69119, 35333, 49456, 36327, 22591, 36328, 3917, 28540, 35337, 36310, 28696, 57247, 17795, 35335, 17791, 54915, 28701, 36316, 36321, 25854, 54247, 29169, 41208, 62957, 41201, 22857, 22974]"
34,healthcare pulse app,"[35344, 36730, 26392, 36956, 63642, 62002, 43377, 35342, 57850, 63650, 63648, 24070, 11125, 42342, 42671, 31029, 63983, 31032, 63991, 42672, 24065, 62246, 4695, 60471, 31031, 42673, 10842, 10865, 71508, 26820, 25921]"
266,contact details form,"[66701, 65494, 3372, 66228, 6861, 48069, 29981, 46777, 10286, 25713, 66696, 11921, 32351, 30286, 25329, 6862, 13359, 70061, 59279, 50151, 66692, 30283, 65863, 61306, 2837, 66663, 37455, 66493, 24736, 19661, 48069]"
57,Navigation app with setting location and destination,"[1105, 36229, 36225, 9716, 9718, 34251, 34256, 55489, 16321, 16317, 25717, 9717, 34253, 15970, 24979, 54548, 8724, 48293, 68970, 35845, 9733, 67876, 2208, 2637, 43184, 21665, 25718, 54556, 35839, 39131, 52332]"
190,trending page,"[50095, 55713, 29783, 55715, 13879, 13880, 38911, 9161, 62118, 9154, 37681, 37665, 67823, 13000, 38910, 38906, 66534, 65007, 62117, 13923, 31375, 4819, 19294, 19282, 50882, 62116, 28901, 18504, 13874, 50881, 59599]"
384,Sidebar with homepage and other options,"[3576, 3577, 3573, 55490, 60645, 55494, 30733, 55493, 55492, 67559, 67553, 30942, 48902, 67561, 30941, 45735, 17819, 58241, 17057, 17073, 45615, 18455, 36196, 18457, 6555, 36195, 32764, 30944, 43153, 62739, 69790]"
149,Spanish news with figuers and search option,"[58974, 32229, 25018, 59619, 21948, 21949, 17475, 21947, 21463, 21946, 26078, 47655, 30071, 47657, 45033, 66853, 5585, 45834, 68113, 66856, 23945, 4668, 4661, 24177, 58106, 49336, 14786, 66852, 39637, 46098, 58638]"
192,side panel with share and settings,"[50505, 69146, 8684, 4825, 50471, 68962, 67254, 52733, 58148, 53871, 58146, 62857, 65975, 39596, 22104, 18042, 5803, 65403, 39600, 4821, 52739, 8691, 66042, 67255, 39603, 39604, 53873, 11241, 52616, 39595, 64805]"
101,Setting screen of a time planer,"[68160, 43706, 36177, 65308, 54057, 15362, 65302, 70060, 49276, 4194, 65726, 49534, 8455, 49449, 54257, 37026, 38833, 30575, 8239, 39131, 12415, 12616, 61582, 39869, 1086, 46468, 49539, 41173, 8240, 65728, 48465]"
122,Customer support notofication page,"[40885, 11092, 5122, 47843, 23501, 69330, 11090, 28822, 6942, 41171, 12072, 35290, 40882, 3521, 47844, 24167, 40883, 12068, 45328, 47944, 25948, 52031, 25953, 46262, 31332, 35568, 41618, 38959, 20457, 2779, 3232]"
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List","[23206, 23212, 48018, 16825, 57651, 40882, 6911, 6910, 8092, 43889, 51876, 20783, 11917, 48014, 12871, 25948, 12858, 12884, 48017, 12867, 40883, 51879, 35772, 6919, 15888, 14577, 63783, 43880, 34797, 43703, 57640]"
59,dictionary page  with words shown,"[61344, 61345, 61348, 45665, 61339, 61333, 71905, 61340, 28511, 61312, 71902, 61322, 71913, 60012, 71908, 61318, 8141, 27410, 8138, 70695, 27413, 1269, 29766, 61336, 29768, 61327, 2164, 23028, 21833, 29785, 27349]"
367,complete your melody,"[50056, 38103, 38102, 20953, 20331, 20322, 50696, 50230, 63188, 854, 50697, 43887, 13028, 13035, 43888, 54935, 29615, 32262, 43873, 63186, 63756, 24599, 33904, 64470, 44643, 50158, 64461, 71823, 44939, 22202, 46619]"
93,the latest updates of football matches,"[43109, 40792, 2589, 17810, 56084, 63812, 3223, 57926, 56081, 53555, 800, 57923, 57925, 8192, 40206, 630, 49896, 43144, 61593, 10566, 10568, 19622, 25067, 14890, 15554, 43103, 56092, 43102, 7912, 7903, 35010]"
238,2D model of solunar clock,"[31838, 29683, 31205, 44683, 30607, 54642, 10126, 67529, 54641, 38688, 33457, 17913, 47254, 1874, 47241, 24037, 7508, 47242, 31993, 31847, 31989, 31992, 31990, 1673, 44295, 38689, 46537, 37799, 47257, 47256, 54641]"
177,arabican news overview with articles,"[8522, 27544, 48754, 67984, 55540, 55542, 44253, 10428, 25989, 10809, 5907, 9553, 44256, 34318, 12033, 22381, 68523, 10803, 42949, 34982, 34980, 4185, 8224, 68520, 2856, 2850, 55539, 21732, 68866, 45647, 52520]"
289,Timer with play button,"[11489, 11490, 47249, 12654, 17912, 18992, 63066, 18991, 56799, 63069, 37256, 2026, 70185, 2020, 53233, 42781, 8401, 6640, 32, 12865, 37257, 35, 63601, 52024, 63599, 33, 13490, 13496, 18590, 13500, 32372]"
144,short tutorial and instructions for a game with option to go back to previous menu,"[65142, 71261, 71255, 19838, 57909, 71260, 30408, 72175, 57149, 42136, 57146, 51477, 30406, 30403, 66116, 2954, 55867, 14674, 3828, 48403, 50726, 58838, 29442, 71256, 55869, 10672, 57148, 38362, 3826, 37391, 33529]"
352,calculator,"[20594, 20602, 49397, 67409, 46604, 8899, 61050, 34179, 18384, 34181, 13616, 18385, 13615, 61055, 14230, 35283, 13613, 45827, 10150, 16989, 16992, 29221, 54528, 16993, 52052, 61048, 62838, 18386, 61832, 28108, 67804]"
449,starting screen of Amino,"[28260, 10276, 22507, 10273, 53935, 20983, 48501, 22505, 41430, 41426, 47327, 34169, 48492, 22513, 30211, 48506, 44996, 24606, 30214, 59942, 41437, 22537, 30215, 47338, 30209, 30216, 22532, 22547, 52920, 60010, 48492]"
272,learning and play piano online,"[35079, 71074, 50420, 46782, 21024, 21909, 5368, 66742, 50056, 69231, 27261, 35652, 32130, 71717, 32139, 9977, 70539, 70544, 32137, 19095, 15238, 19107, 57051, 70538, 17782, 17784, 19077, 28136, 33411, 19075, 47226]"
363,weather notification with toggle button,"[61170, 6423, 70777, 70635, 12865, 28497, 70626, 63601, 6416, 63599, 18590, 54917, 841, 28698, 6640, 61236, 32, 40490, 70185, 2026, 21247, 2020, 65909, 13490, 52024, 33645, 57963, 11258, 13129, 35, 16844]"
222,settings and options in a Gym App,"[54112, 29156, 70918, 24346, 20096, 45962, 33132, 8252, 29162, 18467, 45959, 55121, 45956, 2274, 30328, 2270, 57279, 62159, 36341, 39830, 30326, 9534, 32998, 61620, 62019, 24512, 42937, 32997, 58926, 33003, 1009]"
79,Buy atlanta falcons jersey,"[49903, 17522, 23355, 25062, 23360, 23356, 17386, 17533, 23362, 7593, 40660, 25059, 17404, 17828, 43251, 7590, 42657, 43112, 36040, 21302, 42644, 43110, 25065, 43116, 17395, 7596, 5170, 17398, 5419, 36041, 23362]"
264,Web ad for an children learning app,"[11416, 69934, 47756, 14878, 56662, 47748, 21573, 60473, 51719, 4546, 57051, 39477, 14879, 60469, 35826, 60569, 1187, 28365, 35469, 47762, 68068, 57526, 40835, 25697, 7291, 48798, 21855, 30896, 11744, 1198, 55867]"
369,my playlist,"[58693, 10940, 55481, 5209, 66163, 2119, 70552, 45113, 50232, 52900, 17621, 9981, 53826, 55665, 53824, 26477, 17623, 494, 34334, 61926, 860, 39041, 50233, 50228, 65682, 504, 29618, 14672, 2113, 2112, 71956]"
92,show map,"[52816, 52817, 4218, 66555, 13257, 41480, 7084, 24475, 881, 2754, 13259, 49502, 63529, 13160, 60544, 61043, 48325, 56256, 70756, 71036, 70772, 25787, 12388, 70779, 70781, 20421, 70782, 230, 56275, 70774, 51065]"
351,snapchat startup interface with login and sign up options,"[18535, 69839, 13921, 10894, 20517, 7293, 62001, 315, 63045, 41554, 16333, 49815, 64133, 701, 53273, 49078, 41917, 46883, 37945, 13161, 64136, 49501, 879, 53796, 4138, 25782, 41916, 34650, 51748, 35455, 16082]"
274,accounting software with excel file output format,"[10139, 43697, 18606, 31034, 54508, 58371, 18627, 23612, 50648, 31033, 2067, 28041, 35896, 35898, 24908, 35906, 21643, 761, 31030, 18877, 18781, 61250, 53340, 55611, 54738, 54510, 67898, 2748, 38069, 22349, 35396]"
