id,query,gui_index_1,gui_index_2,gui_index_3,gui_index_4,gui_index_5,gui_index_6,gui_index_7,gui_index_8,gui_index_9,gui_index_10,gui_index_11,gui_index_12,gui_index_13,gui_index_14,gui_index_15
386,web brower with list,21441,19602,16574,26074,53717,64331,26072,63902,41097,68942,27596,36486,18797,62985,24750
219,Tabs layout preview,36327,47402,19988,36328,27590,19987,3917,51353,28701,28540,31783,67999,35337,27833,31047
34,healthcare pulse app,62002,42672,26814,43377,31029,42671,35342,44746,63983,57850,63989,63637,63650,42972,26815
266,contact details form,29981,64300,49918,10286,64299,59279,66696,71431,15867,11921,54543,15038,32351,39054,15043
57,Navigation app with setting location and destination,55489,54497,52329,16321,5772,43706,16317,70060,65308,25717,63928,65302,9717,45434,1086
190,trending page,13880,29710,9161,38911,40125,48240,62118,36458,9154,37681,41400,44708,37665,41401,2131
384,Sidebar with homepage and other options,67559,17819,18457,67553,41355,45615,48902,30463,55491,67561,45735,58241,17057,30944,18455
149,Spanish news with figuers and search option,17475,4668,49332,21947,4645,49344,26078,11569,49338,47655,4656,49335,30071,11580,49334
192,side panel with share and settings,50471,16244,58146,67254,16253,39600,52733,16243,39603,53871,23934,18042,62857,16251,18891
101,Setting screen of a time planer,65302,60660,8239,70060,56055,12415,49276,23582,49534,4194,11299,54257,65726,37550,12616
122,Customer support notofication page,11090,70857,41171,28822,39395,35572,12072,48827,3521,35290,47944,11320,40882,16893,6930
118,"Application with weekly ad, rewards, account, products and projects that can be add to My List",57651,10476,23579,40882,12316,16,6911,21186,53541,6910,13556,20783,8092,38736,53547
59,dictionary page  with words shown,61340,61327,28511,61312,8890,28481,71913,1269,27413,60012,61336,18467,71908,61326,27410
367,complete your melody,20322,2071,13799,50696,23117,69703,50230,65833,32262,854,23116,39255,50697,32265,1947
93,the latest updates of football matches,63812,19621,33805,3223,8297,8192,57926,6581,20858,56081,39006,199,800,644,1054
238,2D model of solunar clock,10126,69797,67529,38688,23601,47241,33457,3294,68730,17913,54647,47242,47254,18248,40998
177,arabican news overview with articles,25989,22381,10777,10809,36610,8214,9553,36594,44256,34318,36559,12033,10803,26779,48736
289,Timer with play button,56799,3535,37256,2026,33779,42781,70185,9515,63601,2020,37083,63599,53233,8401,12865
144,short tutorial and instructions for a game with option to go back to previous menu,71260,26853,5941,30408,20422,57146,72175,26854,58017,57149,12228,50994,51477,71256,28029
352,calculator,13616,14230,16989,18385,60470,13613,13615,16991,39794,61055,38846,18386,45827,16987,24333
449,starting screen of Amino,41426,22514,59942,30211,70178,119,48506,70191,10274,44996,2018,10648,30214,70181,52920
272,learning and play piano online,5368,28365,35826,66742,35469,54361,50056,58940,11744,69231,21021,39480,27261,32130,39479
