Input.query,Input.id,annotations_list,gui_indexes_list,WorkerId,groupid,cumcount
Scientific Calculator Mobile Application,412,"[2, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 1, 0]","[8899, 8897, 20602, 20594, 49397, 67409, 61050, 8900, 46604, 61048, 47998, 35283, 45827, 8896, 16992]",AXXA481XH6FKE,42,0
Scientific Calculator Mobile Application,412,"[2, 2, 0, 1, 2, 1, 0, 2, 1, 0, 0, 0, 0, 2, 0]","[8899, 8897, 20602, 20594, 49397, 67409, 61050, 8900, 46604, 61048, 47998, 35283, 45827, 8896, 16992]",AYHIH9NTPYFLY,42,1
Scientific Calculator Mobile Application,412,"[2, 1, 0, 0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 1, 0]","[8899, 8897, 20602, 20594, 49397, 67409, 61050, 8900, 46604, 61048, 47998, 35283, 45827, 8896, 16992]",A1PVNAXKDIW5K6,42,2
trending page,190,"[2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0]","[59599, 41406, 50095, 55713, 43752, 65007, 29783, 33055, 13923, 55715, 41402, 43663, 13879, 33043, 65015]",AXXA481XH6FKE,142,0
trending page,190,"[2, 1, 2, 1, 0, 0, 2, 1, 0, 2, 2, 2, 0, 1, 0]","[59599, 41406, 50095, 55713, 43752, 65007, 29783, 33055, 13923, 55715, 41402, 43663, 13879, 33043, 65015]",A1BG47GSHQ9WSU,142,1
trending page,190,"[0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0]","[59599, 41406, 50095, 55713, 43752, 65007, 29783, 33055, 13923, 55715, 41402, 43663, 13879, 33043, 65015]",A15ZDCM9T6FXH3,142,2
Tutorial for dog training,123,"[1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[46851, 46848, 1829, 68292, 3836, 3716, 35540, 3826, 3712, 47382, 3838, 5948, 57909, 3828, 5941]",AFIK3VBMMX6G6,54,0
Tutorial for dog training,123,"[2, 2, 0, 2, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]","[46851, 46848, 1829, 68292, 3836, 3716, 35540, 3826, 3712, 47382, 3838, 5948, 57909, 3828, 5941]",A33LIU53SVI55G,54,1
Tutorial for dog training,123,"[2, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[46851, 46848, 1829, 68292, 3836, 3716, 35540, 3826, 3712, 47382, 3838, 5948, 57909, 3828, 5941]",AXXA481XH6FKE,54,2
Gallery app with thumbnails overview,417,"[2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[45705, 57259, 8522, 5161, 48754, 55542, 57709, 33717, 10428, 57719, 24047, 17806, 57714, 5683, 6964]",AFIK3VBMMX6G6,14,0
Gallery app with thumbnails overview,417,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[45705, 57259, 8522, 5161, 48754, 55542, 57709, 33717, 10428, 57719, 24047, 17806, 57714, 5683, 6964]",A33LIU53SVI55G,14,1
Gallery app with thumbnails overview,417,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[45705, 57259, 8522, 5161, 48754, 55542, 57709, 33717, 10428, 57719, 24047, 17806, 57714, 5683, 6964]",A1PVNAXKDIW5K6,14,2
home appliances,3,"[1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 2, 0, 2, 2, 0]","[53473, 30791, 1085, 68770, 48073, 1087, 52944, 9286, 67153, 51323, 9281, 17689, 3784, 71129, 66317]",AXXA481XH6FKE,96,0
home appliances,3,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0]","[53473, 30791, 1085, 68770, 48073, 1087, 52944, 9286, 67153, 51323, 9281, 17689, 3784, 71129, 66317]",AFIK3VBMMX6G6,96,1
home appliances,3,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 2, 0]","[53473, 30791, 1085, 68770, 48073, 1087, 52944, 9286, 67153, 51323, 9281, 17689, 3784, 71129, 66317]",A22TLF121MRXT1,96,2
Management,457,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[62831, 1389, 71743, 10430, 31741, 10425, 55535, 55533, 63783, 24167, 37986, 8470, 39770, 18969, 6855]",A15ZDCM9T6FXH3,23,0
Management,457,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 1, 1, 2, 2, 0, 0]","[62831, 1389, 71743, 10430, 31741, 10425, 55535, 55533, 63783, 24167, 37986, 8470, 39770, 18969, 6855]",ARJ7XWSK0Y8FJ,23,1
Management,457,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[62831, 1389, 71743, 10430, 31741, 10425, 55535, 55533, 63783, 24167, 37986, 8470, 39770, 18969, 6855]",A2AKNTBRMYZ95S,23,2
search cellular locations,346,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[23326, 24154, 61364, 5629, 12745, 173, 15516, 12751, 40438, 2707, 43341, 44453, 38508, 40440, 43024]",AXXA481XH6FKE,124,0
search cellular locations,346,"[2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[23326, 24154, 61364, 5629, 12745, 173, 15516, 12751, 40438, 2707, 43341, 44453, 38508, 40440, 43024]",A22TLF121MRXT1,124,1
