Reward,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gui_index,Answer.summary,Approve,Reject
$0.05,1,600,1209600,,,3A4TN5196KI0ZQ8YHXNKVOA143EHCK,A26BOJ0O91EIBR,Approved,,,144,100% (21/21),100% (21/21),0% (0/0),48513,"Application with writing reviews, bookmarks, and invoices",,
$0.05,1,600,1209600,,,3E7TUJ2EGCMHPCWTJHU32DUV6QI9DM,A3HN5JOPRIKMNU,Approved,,,34,100% (26/26),100% (26/26),0% (0/0),53044,application submission screen for successfully submitted application,,
$0.05,1,600,1209600,,,3PXX5PX6LXY2FY8EXRHX3IHF9NOBAW,A6KII16FVGPFF,Approved,,,111,100% (24/24),100% (24/24),0% (0/0),69974,today storms updates,,
$0.05,1,600,1209600,,,326O153BMIYYK8NARSAPURV6XNYED1,A3IP4RARMM3X4A,Approved,,,18,100% (17/17),100% (17/17),0% (0/0),37506,Transcriptions,,
$0.05,1,600,1209600,,,304SM51WA346FUU8ER3OOIBLVTVBSS,AV5170KNIBKL6,Approved,,,53,100% (21/21),100% (21/21),0% (0/0),4396,text editing with their options,,
$0.05,1,600,1209600,,,38JBBYETQOALKC4HYH9WRN10KA5E4O,A3HN5JOPRIKMNU,Approved,,,28,100% (26/26),100% (26/26),0% (0/0),42768,search screen with popular search results,,
$0.05,1,600,1209600,,,3QJOXOW4XJR1O2TN4L9SDHI061QMER,A373WQWN0DADNL,Approved,,,45,100% (21/21),100% (21/21),0% (0/0),47011,"good: more features, bad:  no security notification",,
$0.05,1,600,1209600,,,3SUWZRL0MYDZZZ8VH52BOLLEG1BE69,A1QOJGSZEZXSE1,Approved,,,132,100% (21/21),100% (21/21),0% (0/0),63471,screen alert with yes no option and text,,
$0.05,1,600,1209600,,,32XVDSJFPZX9TMH7B1ERBG9B9Y0M2P,AFWTKS209SFQY,Approved,,,74,100% (26/26),100% (26/26),0% (0/0),46075,"app settings with permissions, notifications, phone numbers and about",,
$0.05,1,600,1209600,,,3NGMS9VZTLINO612D9PL09JRL1TFFV,A26BOJ0O91EIBR,Approved,,,61,100% (21/21),100% (21/21),0% (0/0),28109,Application for medical calculators with sign in ability,,
$0.05,1,600,1209600,,,3Q8GYXHFEP2OJXO3GVMB6R7BZUNC5Y,A3AFAUMZ4AULZF,Approved,,,65,100% (27/27),100% (27/27),0% (0/0),52143,"Option to Block and report person, write review and request to buy",,
$0.05,1,600,1209600,,,3NS0A6KXC48Z7NOXP5PALMZLYLNGZJ,AFWYEWB3W0ZSB,Approved,,,25,100% (21/21),100% (21/21),0% (0/0),35926,alarm theme with picture,,
$0.05,1,600,1209600,,,39RP059MEHT3HZH3UU72C9CF34DMBR,A26BOJ0O91EIBR,Approved,,,82,100% (21/21),100% (21/21),0% (0/0),37191,Radio podcast with episode option tabs and playback services,,
$0.05,1,600,1209600,,,31Z0PCVWUKFKSI4XQAWYTLLBEMI7TR,A373WQWN0DADNL,Approved,,,52,100% (21/21),100% (21/21),0% (0/0),49300,"bad: no privacy option, good: select option",,
$0.05,1,600,1209600,,,3JJVG1YBEBX59SWX2VQGV71TH9NB5Q,A3BXLWKSBUO002,Approved,,,26,100% (18/18),100% (18/18),0% (0/0),4947,a web screen for tumblr,,
$0.05,1,600,1209600,,,3YMTUJH0DSGN9VMEOCYRQ911NKS4T4,A3BXLWKSBUO002,Approved,,,85,100% (18/18),100% (18/18),0% (0/0),14829,a pop up to choose to share,,
$0.05,1,600,1209600,,,3U5JL4WY5K9UQCVYTMZOFCM70GG4XN,ABOC5IITA7DV1,Approved,,,9,100% (11/11),100% (11/11),0% (0/0),55191,""" News page with sport overview""",,
$0.05,1,600,1209600,,,34MAJL3QP4NIAEOK9XS08WX3TLF43N,A1FV1XP2UU0EVH,Approved,,,13,100% (40/40),100% (40/40),0% (0/0),12792,expandable side menu,,
$0.05,1,600,1209600,,,3BDCF01OGXUFOPST4AK7K7VRO85LY3,AFWTKS209SFQY,Approved,,,27,100% (26/26),100% (26/26),0% (0/0),39515,unknown album playlist,,
$0.05,1,600,1209600,,,3EICBYG644WWQW3O5XQ571QGHVICJK,AFWTKS209SFQY,Approved,,,22,100% (26/26),100% (26/26),0% (0/0),30665,site blocked error,,
$0.05,1,600,1209600,,,3MH9DQ757WCILOUNJIQ24UK6W38GUU,A373WQWN0DADNL,Approved,,,40,100% (21/21),100% (21/21),0% (0/0),56681,"good: more differtent option, bad: no selection of language",,
$0.05,1,600,1209600,,,3RRCEFRB7MCND9SXOQ76QFVFHDSB4L,A26BOJ0O91EIBR,Approved,,,167,100% (21/21),100% (21/21),0% (0/0),57833,"Communication app with recent contact , making contact , setting and history",,
$0.05,1,600,1209600,,,3BEFOD78W6TJW0WUFFXF4V69TCWM4L,AFWYEWB3W0ZSB,Approved,,,9,100% (21/21),100% (21/21),0% (0/0),36635,stopwatch with timer,,
$0.05,1,600,1209600,,,3TMSXRD2X60Y9DTPWZK0FV1XFU01WE,A34Z73OAWYW014,Approved,,,21,100% (31/31),100% (31/31),0% (0/0),65727,More options for user,,
$0.05,1,600,1209600,,,3L70J4KAZGMVUV6YBN83Y85FC80AD2,AFWTKS209SFQY,Approved,,,42,100% (26/26),100% (26/26),0% (0/0),31677,"create, search or download anime girls images",,
$0.05,1,600,1209600,,,3CTOC39K37QQEF8SEGIURFY2GKRJ7Y,ABREXWFU9D3WR,Approved,,,30,100% (15/15),100% (15/15),0% (0/0),29826,a screen to choose people to follow in an social media,,
$0.05,1,600,1209600,,,3I33IC7ZWF28RL8IEYOM2PEBFHBA2T,A3HN5JOPRIKMNU,Approved,,,32,100% (26/26),100% (26/26),0% (0/0),54682,request for application update,,
$0.05,1,600,1209600,,,33F859I566DHPLGS3XRPK44JMIEBH7,A34Z73OAWYW014,Approved,,,18,100% (31/31),100% (31/31),0% (0/0),28075,Wallpaper with an image,,
$0.05,1,600,1209600,,,3AQF3RZ558IR5D8RCGMH636ES2QF6S,A3AFAUMZ4AULZF,Approved,,,27,100% (27/27),100% (27/27),0% (0/0),36682,Confirm passcode with number keypad,,
$0.05,1,600,1209600,,,3I7DHKZYGN0VM98D7XCCEXSEW7FF5C,AFWTKS209SFQY,Approved,,,37,100% (26/26),100% (26/26),0% (0/0),50895,search bar with list of computer accessories categories,,
$0.05,1,600,1209600,,,3JWH6J9I9SD9ZH236VM2PO1F8UNBNG,A373WQWN0DADNL,Approved,,,32,100% (21/21),100% (21/21),0% (0/0),43695,"bad: no privacy,",,
$0.05,1,600,1209600,,,37UEWGM5HT8T1HC3X5AUSWTGNFL1RB,A3HN5JOPRIKMNU,Approved,,,28,100% (26/26),100% (26/26),0% (0/0),15516,Application screen for find the phone number information,,
$0.05,1,600,1209600,,,3RKNTXVS3MYIUZN5IC7AV4B9ZV7A4P,A3AFAUMZ4AULZF,Approved,,,52,100% (27/27),100% (27/27),0% (0/0),66567,Show Kik video,,
$0.05,1,600,1209600,,,3TR2532VIPU7AFUNV6D2L1Y6L97J6Z,AFWYEWB3W0ZSB,Approved,,,69,100% (21/21),100% (21/21),0% (0/0),51016,picture frame with different shapes,,
