id,query
72,app for football team players overview with videos
259,Call logs with no history
297,page contain the searchbar for song
392,expandable side menu
142,Good restaurants for Valentine's day
253,Events estimation
39,French appl for traffic stations
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class"
101,photo preview app with zoomIn zoomOut options
176,List Item with Tab Color
309,"search bar with list of  connecters name ,favorites and all"
439,login screen
53,"test article, options"
396,Womens sexual healthcare
99,Sign-in with Facebook data in which name or email address included
314,old facebook sign up page
285,Text insert with keyboard
154,Settings with regionbnews
134,start screen
353,Search icon with Menu and Chat Icon and advertisement
82,sign up with email
109,sign up with welcome Bonus
16,It display the Map with search bar
115,page contaion the current and saved location
295,Details about cards and numbers
65,App for jokes and funny image posting
5,screen with select single answer
379,terms of chocoapp
234,a sreen to enter the personal details
3,Price comparison application showing discounts and chash back
237,Account creation with selection menu
18,alarm
84,RN Mentor Quiz
318,In car USB connection with eService and UVO
144,List of blocked accounts and contacts
154,menu to choose between different options for organising ebooks
413,adjust actions in the settings
159,Country code listing
94,sign up for baby care
141,Searching Engine with search bar for phrases starting with How to
81,search location
316,list with favorite button and Ads bar
95,weather and forecasting app with weather station selection
140,video editor
229,"buy item, image recorder, ads"
80,web advertising for an app with continue and skip button
189,Collapsible and Expandable List with Navigation bar and Fix Header
275,Mobile Bible Reader Application
333,Japanese anime books and ads
427,food and restaurants list
372,downloading the image with brief dscription
8,top world news
81,Model Selection
366,Search with search results
246,Settings menu
59,selecting different devices
57,Microsoft corp with stock
112,latest keypad themes
233,PitchLab
241,feedback bar in PayNearMe
150,"search bar with results in Science, Textbook Solutions and Online Tuition"
76,cheese
298,cell phone storage structure
248,"book reader with ""Become a Member"" button"
123,weather application screen's side menu
130,Trivago-Threats of pandemic and climate change an 'opportunity' to enhance local travel
110,podcast episode screen with download option
33,information description with login button
227,Menu for a music player app with ten different buttons
349,select which sports news to appear
51,"search bar with shopping categories, discount advertisement and account maintenance"
64,News with detail
4,learn english easily
12,Dropdown options in ascending order
42,find your life partner
161,how can i find the best personal servises
296,photography filter
146,privacy policy aceptacion
6,Main screen
443,FAQ YapStone support search button and missing site message
341,location map window with search bar
279,Image editing
388,JO-ANN GUI interface
155,Advert for weather reporting
246,Settings for network usuage-bahaviour-history
373,camera purchase reviews for beginners
3,list of data with image and details
305,search bar with various categories of GIFs
441,search for works in  a map
31,search bar with  list of application with its image
65,blood glucose tracker side bar
48,Post results with postings
41,sharing hair care tips through various mediums
198,Close Button and Image Grid with Image card and Plus Icon overlay
137,"Setting of notification with label, time, when and days"
224,veggie medley salad recipe with nutrition and serving information
450,four tabs with calander
190,Registration for the services
215,share prompt  for a fitness app
317,"Filter settings for choosing price range, number of beds and baths"
9,learning app
150,table with information about controls on foot
141,Weather app
149,loading page of happy hours
379,search bar with result list showing song preview image and name
265,Tennis championships players ranking
86,blood test with data entry and unit selection
321,bloomberg
46,Translation with results
249,search bar with add a favorite
270,Music Album
76,"feedback request, whether you like it, with options yes or feedback and emojis"
67,Travel with ease with tracking
213,search page of dolphin.com
15,prompt to add a suite to  Wishlist
380,home page of dictionary with word of day
18,unknown album playlist
288,maternity scheduler with timetable
240,map display the error of voice recognization
6,how can i change this settings
307,Search bar with a text and a page showing no results
304,shopping list app
23,Information screen to add a tabatas in a tabatas list app
245,"login screen, landing page"
18,UI for reminder notes
287,e-commerce for online selling and buying
375,Options menu
89,Card with image and text with link button
252,reader's view of an article of Time
338,sign up page for a dating application
135,Forum app to meet people and join discussions
283,"News with result list showing items such as Bitcoin Magazine, CoinDesk"
411,countdown timer with a list of options
105,select location
104,search job locations in desired place
127,dropdown for country and text box for contact number with number only keyboard
151,Weekday digest for meal planning
144,T20 Cricket Live Chat
242,2D graph with a point and its dimensions
60,sharing files service
409,Job feed for online job posting
82,Text window wth search tool
324,List of notifications
196,"App for Journey from one place to another , booking the seats"
231,"research of specific year, month, and day"
102,translation from chinese to english with favorites word storage
248,"Settings with account, alert frequency and alert type"
276,my net diary with many options
96,Country picker
393,sharing privacy settings
383,the best calculator
105,search bar with audio upload feature
200,sign-in with Google account with less information
46,"Filter Nav bar with Search icon, Cart, product name, product image, product rating and Menu"
151,Listing the items with attractive images
123,Inbox design and themes
342,google map with details
207,Add blocker
132,login screen
142,Find a barber
7,Different Language choice keypad
43,camera notification message
244,Calendar with monthly layout for promotions
127,see game history
232,Menu should be in ascending order to make more friendly
26,List of chapers with name and status
19,photo viewer
10,us immigration news
88,Weather Forecast
78,create notifications
8,"app settings with permissions, notifications, phone numbers and about"
437,loading screen on app
262,infrormation screen about unavailble service
83,GPS Location finder
266,alarm to organize my work
237,"Search bar with a searching function and entries like home, weather, traffic, radar, closings & delays"
35,most viewed report of the week
452,in shape water schedule by date
116,elementary podcast British council
22,live breaking news video with another top stories article and video
461,expandable side menu
228,voice changer with many buttons
238,video show of a tattoo
220,Overview of a holiday room with pictures and features
1,ecommerce portal homescreen with search bar and frequently used option
45,login screen
49,Menu with menu options
345,Body care products
180,word levels
77,bottom menu
254,privacy policy with types of collected information
98,Chinese emergency words in English
382,"Text reading,search bar, ads, and share"
284,recognizing plants by picture
357,newsfeed with articles and image
188,"DealNews application with sign in, feedback, top deals and categories"
259,informations about Grace Chan
292,income and expenses reports
371,lists
17,expandable side menu
269,spin and win rewards app
332,channels overview
397,shopping lists app with ability to share
254,song with the artist picture and pause button
256,meet peopple feature me women selfies
406,A list of Games
63,search bar that include the dish and resturent name
48,pop up menu
125,playlists overview with favorites and playlistis names
320,information with get started
99,Details listed with all the Major Satellites
223,keypad dialer theme
425,search coffee with location
51,Web advertising for online shop
290,various emojis
174,rent a car
247,Units to measure volume
83,choose a location
66,creating profile with  email using username email id and password
261,open garden forum
256,News with videos
271,picture of a robot with explanations
231,Login Scren of an app
243,a news with a share icon
63,food tutorial apps with background music
26,Android application typical notification window
278,Booking a lounge at the airport
391,overview of livestream shows
436,language learning app
335,flag and find locations
73,Chinese dating app describing its features
170,Navigation and settings panel
166,Yalla shoot app
420,down nearby picks
61,a news and an advertisement
40,Most demanded news and article
86,shopping categories
197,Mobile UI for settings page
2,today storms updates
71,Mp3 + player +  software
70,history of experienced staff
418,broadcasting sport app
168,Tabs for exams and grading
399,NBC news
126,screen with different measurements of a women's picture
171,ingredients of crust less breakfast
350,a list of songs
329,share news with another shareable options
28,List of states and a menu
212,This is good example for information screen
108,Wildlife NEWS overview with video and text
33,search bar with key words under specified categories
4,screen of a task manager showing open tasks of the mobile phone
118,Introductory message for startup
258,sign up to ASOS
148,Map app with the ability of sharing the location with different social media applications
109,Sign in with Twitter-allows Twitter users to enjoy the benefits of a registered user account
4,text editing with their options
87,guitar lessons app for left handed people
163,emoticons of yellow faces to choose from
309,game user guide
43,food photo with ingredients
195,App that display the shop and store locators and account details
14,gaming tickets with account manager
308,countries-based news app
331,List of dropdown categories
343,a pop up window to choose in which to share
45,google map with search bar
328,"search bar with result a list showing person with name, adress, price and image, with option call now or send enqury"
463,choose primary use for cash for personal or business
24,Confirmation dialogue box for switching application with option to proceed and go back
97,video review with send as message button
201,playlists with other options in music player
311,Team selection bar
76,Tutorial for newly installed browser
32,Translation page with UI
273,list of football players
8,Login with organitzation address and password
385,Tickets website show the register page
53,"Registration with email, full name, public username and country"
1,Review with description
102,"Site showing papers with Title, Release date, advisory ID, and Summary"
31,Application screen for find the phone number information
28,low carbs shakes
163,Invitation with share link
208,a language window with many options
97,fun
12,Search bar with attractive pictures as well as date and names
401,Login form with validation
0,"Application with writing reviews, bookmarks, and invoices"
26,request for application update
104,moblie locking apps
444,profile window with a button to take a photo or select it from galary
131,details for disclaimer
139,"Start screen of a photo editing program with buttons like your photos, use camera, from facebook and cool photos"
267,Great American Ball Park Tickets Booking and Schedule Updates
230,Sign up screen with user details
96,buying many items at once
62,Personalised Timer
355,search bar with contact list with profile picture and all other applications
