id,query,gui_index
72,app for football team players overview with videos,5478
259,Call logs with no history,46731
297,page contain the searchbar for song,64908
392,expandable side menu,6565
142,Good restaurants for Valentine's day,60496
253,Events estimation,45130
39,French appl for traffic stations,10002
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class",387
101,photo preview app with zoomIn zoomOut options,39626
176,List Item with Tab Color,67394
309,"search bar with list of  connecters name ,favorites and all",43096
439,login screen,49706
53,"test article, options",46234
396,Womens sexual healthcare,22864
99,Sign-in with Facebook data in which name or email address included,36127
314,old facebook sign up page,50769
285,Text insert with keyboard,33506
154,Settings with regionbnews,49255
134,start screen,39774
353,Search icon with Menu and Chat Icon and advertisement,30371
82,sign up with email,31541
109,sign up with welcome Bonus,34735
16,It display the Map with search bar,61599
115,page contaion the current and saved location,58357
295,Details about cards and numbers,43707
65,App for jokes and funny image posting,53353
5,screen with select single answer,37856
379,terms of chocoapp,45906
234,a sreen to enter the personal details,27474
3,Price comparison application showing discounts and chash back,6928
237,Account creation with selection menu,23798
18,alarm,35918
84,RN Mentor Quiz,54284
318,In car USB connection with eService and UVO,19566
144,List of blocked accounts and contacts,35058
154,menu to choose between different options for organising ebooks,5231
413,adjust actions in the settings,41466
159,Country code listing,7300
94,sign up for baby care,52122
141,Searching Engine with search bar for phrases starting with How to,26423
81,search location,52330
316,list with favorite button and Ads bar,21912
95,weather and forecasting app with weather station selection,56692
140,video editor,18234
229,"buy item, image recorder, ads",40061
80,web advertising for an app with continue and skip button,1942
189,Collapsible and Expandable List with Navigation bar and Fix Header,3183
275,Mobile Bible Reader Application,12789
333,Japanese anime books and ads,50541
427,food and restaurants list,66329
372,downloading the image with brief dscription,68091
8,top world news,5167
81,Model Selection,4616
366,Search with search results,52196
246,Settings menu,1217
59,selecting different devices,39281
57,Microsoft corp with stock,30461
112,latest keypad themes,21480
233,PitchLab,27641
241,feedback bar in PayNearMe,53870
150,"search bar with results in Science, Textbook Solutions and Online Tuition",42111
76,cheese,64438
298,cell phone storage structure,62027
248,"book reader with ""Become a Member"" button",40696
123,weather application screen's side menu,51829
130,Trivago-Threats of pandemic and climate change an 'opportunity' to enhance local travel,33084
110,podcast episode screen with download option,47138
33,information description with login button,13352
227,Menu for a music player app with ten different buttons,71867
349,select which sports news to appear,18949
51,"search bar with shopping categories, discount advertisement and account maintenance",833
64,News with detail,39546
4,learn english easily,23185
12,Dropdown options in ascending order,71586
42,find your life partner,24661
161,how can i find the best personal servises,56562
296,photography filter,8879
146,privacy policy aceptacion,2076
6,Main screen,68694
443,FAQ YapStone support search button and missing site message,36059
341,location map window with search bar,25717
279,Image editing,24881
388,JO-ANN GUI interface,46803
155,Advert for weather reporting,43850
246,Settings for network usuage-bahaviour-history,19860
373,camera purchase reviews for beginners,8601
3,list of data with image and details,25117
305,search bar with various categories of GIFs,57835
441,search for works in  a map,39682
31,search bar with  list of application with its image,61954
65,blood glucose tracker side bar,47499
48,Post results with postings,29061
41,sharing hair care tips through various mediums,71288
198,Close Button and Image Grid with Image card and Plus Icon overlay,41568
137,"Setting of notification with label, time, when and days",22867
224,veggie medley salad recipe with nutrition and serving information,70042
450,four tabs with calander,15688
190,Registration for the services,11918
215,share prompt  for a fitness app,53967
317,"Filter settings for choosing price range, number of beds and baths",42503
9,learning app,28141
150,table with information about controls on foot,60323
141,Weather app,36651
149,loading page of happy hours,26963
379,search bar with result list showing song preview image and name,67905
265,Tennis championships players ranking,43130
86,blood test with data entry and unit selection,25151
321,bloomberg,49462
46,Translation with results,16357
249,search bar with add a favorite,30002
270,Music Album,4973
76,"feedback request, whether you like it, with options yes or feedback and emojis",4707
67,Travel with ease with tracking,7899
213,search page of dolphin.com,7152
15,prompt to add a suite to  Wishlist,18297
380,home page of dictionary with word of day,16110
18,unknown album playlist,39515
288,maternity scheduler with timetable,14230
240,map display the error of voice recognization,9246
6,how can i change this settings,52964
307,Search bar with a text and a page showing no results,67718
304,shopping list app,922
23,Information screen to add a tabatas in a tabatas list app,49331
245,"login screen, landing page",879
18,UI for reminder notes,4413
287,e-commerce for online selling and buying,70937
375,Options menu,34240
89,Card with image and text with link button,51118
252,reader's view of an article of Time,50666
338,sign up page for a dating application,23576
135,Forum app to meet people and join discussions,70594
283,"News with result list showing items such as Bitcoin Magazine, CoinDesk",34473
411,countdown timer with a list of options,57318
105,select location,69822
104,search job locations in desired place,38323
127,dropdown for country and text box for contact number with number only keyboard,33194
151,Weekday digest for meal planning,6044
144,T20 Cricket Live Chat,61947
242,2D graph with a point and its dimensions,61057
60,sharing files service,53377
409,Job feed for online job posting,38318
82,Text window wth search tool,71819
324,List of notifications,47119
196,"App for Journey from one place to another , booking the seats",43369
231,"research of specific year, month, and day",3390
102,translation from chinese to english with favorites word storage,35168
248,"Settings with account, alert frequency and alert type",38321
276,my net diary with many options,8337
96,Country picker,68533
393,sharing privacy settings,38969
383,the best calculator,69034
105,search bar with audio upload feature,33471
200,sign-in with Google account with less information,48180
46,"Filter Nav bar with Search icon, Cart, product name, product image, product rating and Menu",17175
151,Listing the items with attractive images,9267
123,Inbox design and themes,12059
342,google map with details,12353
207,Add blocker,56729
132,login screen,43412
142,Find a barber,71571
7,Different Language choice keypad,45339
43,camera notification message,42512
244,Calendar with monthly layout for promotions,64069
127,see game history,56089
232,Menu should be in ascending order to make more friendly,64028
26,List of chapers with name and status,64519
19,photo viewer,31048
10,us immigration news,18726
88,Weather Forecast,7725
78,create notifications,52979
8,"app settings with permissions, notifications, phone numbers and about",46075
437,loading screen on app,50768
262,infrormation screen about unavailble service,17620
83,GPS Location finder,39575
266,alarm to organize my work,61177
237,"Search bar with a searching function and entries like home, weather, traffic, radar, closings & delays",37419
35,most viewed report of the week,47628
452,in shape water schedule by date,30327
116,elementary podcast British council,58308
22,live breaking news video with another top stories article and video,5235
461,expandable side menu,14215
228,voice changer with many buttons,45268
238,video show of a tattoo,51384
220,Overview of a holiday room with pictures and features,41847
1,ecommerce portal homescreen with search bar and frequently used option,53479
45,login screen,45861
49,Menu with menu options,40960
345,Body care products,20162
180,word levels,36189
77,bottom menu,47832
254,privacy policy with types of collected information,8453
98,Chinese emergency words in English,27561
382,"Text reading,search bar, ads, and share",29775
284,recognizing plants by picture,49102
357,newsfeed with articles and image,67353
188,"DealNews application with sign in, feedback, top deals and categories",38384
259,informations about Grace Chan,17255
292,income and expenses reports,26054
371,lists,5436
17,expandable side menu,12792
269,spin and win rewards app,47945
332,channels overview,62180
397,shopping lists app with ability to share,4783
254,song with the artist picture and pause button,45243
256,meet peopple feature me women selfies,50320
406,A list of Games,1309
63,search bar that include the dish and resturent name,4793
48,pop up menu,19063
125,playlists overview with favorites and playlistis names,44035
320,information with get started,52301
99,Details listed with all the Major Satellites,42375
223,keypad dialer theme,40339
425,search coffee with location,2696
51,Web advertising for online shop,43530
290,various emojis,62124
174,rent a car,32444
247,Units to measure volume,72081
83,choose a location,40965
66,creating profile with  email using username email id and password,40816
261,open garden forum,17677
256,News with videos,18890
271,picture of a robot with explanations,25996
231,Login Scren of an app,25425
243,a news with a share icon,21244
63,food tutorial apps with background music,61223
26,Android application typical notification window,52436
278,Booking a lounge at the airport,57682
391,overview of livestream shows,24998
436,language learning app,27741
335,flag and find locations,51158
73,Chinese dating app describing its features,56919
170,Navigation and settings panel,4895
166,Yalla shoot app,54720
420,down nearby picks,31953
61,a news and an advertisement,56632
40,Most demanded news and article,7762
86,shopping categories,37710
197,Mobile UI for settings page,64671
2,today storms updates,69974
71,Mp3 + player +  software,39444
70,history of experienced staff,14251
418,broadcasting sport app,51474
168,Tabs for exams and grading,49646
399,NBC news,37500
126,screen with different measurements of a women's picture,66134
171,ingredients of crust less breakfast,7928
350,a list of songs,61929
329,share news with another shareable options,45216
28,List of states and a menu,6622
212,This is good example for information screen,7465
108,Wildlife NEWS overview with video and text,13880
33,search bar with key words under specified categories,56905
4,screen of a task manager showing open tasks of the mobile phone,62586
118,Introductory message for startup,52920
258,sign up to ASOS,4322
148,Map app with the ability of sharing the location with different social media applications,40412
109,Sign in with Twitter-allows Twitter users to enjoy the benefits of a registered user account,66815
4,text editing with their options,4396
87,guitar lessons app for left handed people,38823
163,emoticons of yellow faces to choose from,30432
309,game user guide,12609
43,food photo with ingredients,42425
195,App that display the shop and store locators and account details,63776
14,gaming tickets with account manager,39559
308,countries-based news app,25210
331,List of dropdown categories,67401
343,a pop up window to choose in which to share,13855
45,google map with search bar,24749
328,"search bar with result a list showing person with name, adress, price and image, with option call now or send enqury",19885
463,choose primary use for cash for personal or business,32392
24,Confirmation dialogue box for switching application with option to proceed and go back,21297
97,video review with send as message button,44177
201,playlists with other options in music player,25514
311,Team selection bar,43148
76,Tutorial for newly installed browser,65334
32,Translation page with UI,70252
273,list of football players,17533
8,Login with organitzation address and password,51947
385,Tickets website show the register page,35976
53,"Registration with email, full name, public username and country",40401
1,Review with description,33340
102,"Site showing papers with Title, Release date, advisory ID, and Summary",41528
31,Application screen for find the phone number information,15516
28,low carbs shakes,65741
163,Invitation with share link,46292
208,a language window with many options,70036
97,fun,17201
12,Search bar with attractive pictures as well as date and names,46612
401,Login form with validation,59701
0,"Application with writing reviews, bookmarks, and invoices",48513
26,request for application update,54682
104,moblie locking apps,19109
444,profile window with a button to take a photo or select it from galary,38535
131,details for disclaimer,28675
139,"Start screen of a photo editing program with buttons like your photos, use camera, from facebook and cool photos",50679
267,Great American Ball Park Tickets Booking and Schedule Updates,36046
230,Sign up screen with user details,8109
96,buying many items at once,38078
62,Personalised Timer,35384
355,search bar with contact list with profile picture and all other applications,47542
