id,query,WorkerId
72,app for football team players overview with videos,A1CLIAQI9N8YOJ
259,Call logs with no history,ASL3NA8PT15JU
297,page contain the searchbar for song,A2TXLKAOJJ9BEK
392,expandable side menu,A1FV1XP2UU0EVH
142,Good restaurants for Valentine's day,A218PYL0KI07IO
253,Events estimation,AVRMXTZHUCXXL
39,French appl for traffic stations,A1CLIAQI9N8YOJ
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class",ABOC5IITA7DV1
101,photo preview app with zoomIn zoomOut options,A32ATJF7ZENBWH
176,List Item with Tab Color,A1QOJGSZEZXSE1
309,"search bar with list of  connecters name ,favorites and all",AFWYEWB3W0ZSB
439,login screen,A1FV1XP2UU0EVH
53,"test article, options",A8BH4CXKWP6PW
396,Womens sexual healthcare,ASL3NA8PT15JU
99,Sign-in with Facebook data in which name or email address included,A1P9OU1YPIQVW7
314,old facebook sign up page,A1UOWWUH9WVUOH
285,Text insert with keyboard,A12EE9K9VY7XXF
154,Settings with regionbnews,A13HTFAO25P3U4
134,start screen,A27GOFWHEHV758
353,Search icon with Menu and Chat Icon and advertisement,A1QOJGSZEZXSE1
82,sign up with email,A8BH4CXKWP6PW
109,sign up with welcome Bonus,A32ATJF7ZENBWH
16,It display the Map with search bar,A2TXLKAOJJ9BEK
115,page contaion the current and saved location,A2TXLKAOJJ9BEK
295,Details about cards and numbers,A3BXLWKSBUO002
65,App for jokes and funny image posting,A13HTFAO25P3U4
5,screen with select single answer,A3HN5JOPRIKMNU
379,terms of chocoapp,A2TXLKAOJJ9BEK
234,a sreen to enter the personal details,ABREXWFU9D3WR
3,Price comparison application showing discounts and chash back,A26BOJ0O91EIBR
237,Account creation with selection menu,AFWYEWB3W0ZSB
18,alarm,A3CR6XU8373Z2N
84,RN Mentor Quiz,AE2M19TCQJWI
318,In car USB connection with eService and UVO,A26BOJ0O91EIBR
144,List of blocked accounts and contacts,AE2M19TCQJWI
154,menu to choose between different options for organising ebooks,A3CP44KT0KLT69
413,adjust actions in the settings,A1NFUUQF4T9KXM
159,Country code listing,A13HTFAO25P3U4
94,sign up for baby care,A23IXWZNWDLTNT
141,Searching Engine with search bar for phrases starting with How to,A26BOJ0O91EIBR
81,search location,AFWTKS209SFQY
316,list with favorite button and Ads bar,A3CUDF4JR3QTS4
95,weather and forecasting app with weather station selection,A1CLIAQI9N8YOJ
140,video editor,A3CUDF4JR3QTS4
229,"buy item, image recorder, ads",A8BH4CXKWP6PW
80,web advertising for an app with continue and skip button,A11B0Q26E3U79M
189,Collapsible and Expandable List with Navigation bar and Fix Header,A1QOJGSZEZXSE1
275,Mobile Bible Reader Application,AE2M19TCQJWI
333,Japanese anime books and ads,A1V8T0ZHN29U5H
427,food and restaurants list,A1V8T0ZHN29U5H
372,downloading the image with brief dscription,A3NDKVYPTBWPEO
8,top world news,A23IXWZNWDLTNT
81,Model Selection,AE2M19TCQJWI
366,Search with search results,A34Z73OAWYW014
246,Settings menu,A1FV1XP2UU0EVH
59,selecting different devices,A3CR6XU8373Z2N
57,Microsoft corp with stock,A13HTFAO25P3U4
112,latest keypad themes,A6KII16FVGPFF
233,PitchLab,A1250SSIMRQ3JA
241,feedback bar in PayNearMe,A1UOWWUH9WVUOH
150,"search bar with results in Science, Textbook Solutions and Online Tuition",A32ATJF7ZENBWH
76,cheese,A20EIK9C477PTC
298,cell phone storage structure,A23IXWZNWDLTNT
248,"book reader with ""Become a Member"" button",A3CUDF4JR3QTS4
123,weather application screen's side menu,A3HN5JOPRIKMNU
130,Trivago-Threats of pandemic and climate change an 'opportunity' to enhance local travel,A3TTSFVAJHM947
110,podcast episode screen with download option,A3HN5JOPRIKMNU
33,information description with login button,A1WH1CTOZHV7YR
227,Menu for a music player app with ten different buttons,A11B0Q26E3U79M
349,select which sports news to appear,ASL3NA8PT15JU
51,"search bar with shopping categories, discount advertisement and account maintenance",AFWTKS209SFQY
64,News with detail,A34Z73OAWYW014
4,learn english easily,A23IXWZNWDLTNT
12,Dropdown options in ascending order,A3HN5JOPRIKMNU
42,find your life partner,A23IXWZNWDLTNT
161,how can i find the best personal servises,A6KII16FVGPFF
296,photography filter,A2KNN0T650FQ01
146,privacy policy aceptacion,A27GOFWHEHV758
6,Main screen,A1FV1XP2UU0EVH
443,FAQ YapStone support search button and missing site message,A3G2CWQ5OV8AHE
341,location map window with search bar,A3CUDF4JR3QTS4
279,Image editing,AFWTKS209SFQY
388,JO-ANN GUI interface,A23IXWZNWDLTNT
155,Advert for weather reporting,A1NW9UWTFS14S5
246,Settings for network usuage-bahaviour-history,A3TTSFVAJHM947
373,camera purchase reviews for beginners,A8PRJZR3J6UTF
3,list of data with image and details,A2G11CAPXX5616
305,search bar with various categories of GIFs,AFWTKS209SFQY
441,search for works in  a map,A1UOWWUH9WVUOH
31,search bar with  list of application with its image,AFWYEWB3W0ZSB
65,blood glucose tracker side bar,A1V8T0ZHN29U5H
48,Post results with postings,A34Z73OAWYW014
41,sharing hair care tips through various mediums,A1UOWWUH9WVUOH
198,Close Button and Image Grid with Image card and Plus Icon overlay,A1QOJGSZEZXSE1
137,"Setting of notification with label, time, when and days",A36COHZCHGHYD3
224,veggie medley salad recipe with nutrition and serving information,AFWTKS209SFQY
450,four tabs with calander,A3CUDF4JR3QTS4
190,Registration for the services,A3IP4RARMM3X4A
215,share prompt  for a fitness app,A1UOWWUH9WVUOH
317,"Filter settings for choosing price range, number of beds and baths",A3CP44KT0KLT69
9,learning app,A2KNN0T650FQ01
150,table with information about controls on foot,A1NW9UWTFS14S5
141,Weather app,A1250SSIMRQ3JA
149,loading page of happy hours,A2TXLKAOJJ9BEK
379,search bar with result list showing song preview image and name,AFWYEWB3W0ZSB
265,Tennis championships players ranking,A1CLIAQI9N8YOJ
86,blood test with data entry and unit selection,A1WH1CTOZHV7YR
321,bloomberg,A20EIK9C477PTC
46,Translation with results,A34Z73OAWYW014
249,search bar with add a favorite,A1R6ELRI4GR9XF
270,Music Album,A1JBSNWSI7VKQO
