id,query,ranked_guis
72,app for football team players overview with videos,"[40209, 7230, 56086, 43131, 39069, 40212, 7234, 8522, 40792, 55542, 56081, 10428, 31510, 39075, 7593, 5419, 7233, 5907, 55540, 55442, 55443, 5418, 5439, 27544, 35018, 40213, 9659, 35014, 15555, 46169, 5478]"
259,Call logs with no history,"[62527, 58722, 48375, 65809, 41874, 46731, 69023, 26653, 9529, 7687, 128, 28508, 65325, 30594, 58976, 35187, 48370, 35200, 38572, 15332, 43304, 32380, 41881, 6895, 60394, 6576, 3687, 70073, 18956, 52027, 46731]"
297,page contain the searchbar for song,"[70393, 14448, 55480, 55483, 14454, 68996, 32097, 27043, 13677, 23291, 13682, 27042, 23295, 14458, 54772, 27065, 54782, 54774, 68915, 54771, 54781, 54773, 68928, 705, 1971, 711, 714, 30629, 30628, 71490, 64908]"
392,expandable side menu,"[22727, 22725, 5803, 58148, 69142, 58146, 39596, 39600, 39603, 8684, 68962, 18891, 52733, 65975, 39604, 20721, 65403, 22104, 62850, 67254, 52739, 32053, 69146, 31379, 4821, 4825, 39591, 66042, 39599, 62857, 6565]"
142,Good restaurants for Valentine's day,"[3771, 42034, 48955, 48948, 24554, 42039, 3767, 42038, 39828, 39820, 39822, 39818, 39826, 21726, 39819, 21715, 39811, 8113, 43530, 8106, 53741, 31130, 6415, 31899, 60490, 60489, 3764, 6422, 16957, 24555, 60496]"
253,Events estimation,"[26736, 26737, 58890, 20149, 46802, 48531, 64803, 57891, 47575, 17198, 53767, 15945, 47566, 66433, 20153, 43868, 29658, 2012, 15689, 15685, 48521, 59822, 47539, 15592, 15068, 46805, 30084, 59833, 64948, 45436, 45130]"
39,French appl for traffic stations,"[15997, 62238, 34532, 29439, 31157, 31144, 7050, 69626, 43463, 44885, 69629, 28202, 61688, 56942, 21426, 37790, 10390, 56940, 37786, 48832, 10391, 28196, 62239, 54047, 66449, 68285, 51518, 33157, 24525, 56938, 10002]"
145,"Search a flight by providing the provenance, destination, number of ways, date you intend to travel and the class","[28796, 36207, 57686, 47972, 15367, 9718, 9740, 54865, 3040, 9716, 14902, 14899, 14893, 14906, 44386, 9733, 29330, 44802, 9966, 44394, 14894, 39809, 67241, 30334, 57675, 57679, 10978, 9717, 44399, 3042, 387]"
101,photo preview app with zoomIn zoomOut options,"[14760, 29467, 5847, 18795, 49456, 22596, 22591, 13306, 69708, 49337, 19983, 35897, 36024, 31047, 31678, 19988, 20057, 31109, 19987, 28701, 67999, 36316, 35333, 35337, 25844, 36321, 28692, 21248, 34913, 847, 39626]"
176,List Item with Tab Color,"[64210, 64203, 50983, 18240, 65513, 1959, 33037, 72139, 65510, 72138, 57157, 69720, 72143, 26169, 65514, 54375, 72135, 64529, 52235, 48112, 57501, 57154, 59139, 50030, 19866, 66634, 47174, 59975, 59972, 59135, 67394]"
309,"search bar with list of  connecters name ,favorites and all","[3615, 5233, 59414, 9978, 9970, 63828, 23445, 56670, 63826, 3618, 54034, 6507, 67578, 19113, 17095, 21770, 57769, 48371, 30305, 10640, 59840, 18215, 18224, 48966, 56671, 17107, 46247, 17096, 22334, 23265, 43096]"
439,login screen,"[69548, 141, 20071, 42005, 39998, 29481, 47741, 16241, 59208, 30102, 140, 71940, 65903, 15939, 1552, 22253, 35225, 3254, 20151, 16532, 6364, 29877, 44962, 33123, 27869, 38049, 69952, 24026, 30879, 22542, 49706]"
53,"test article, options","[1562, 16502, 48907, 1558, 16503, 45400, 2850, 2856, 1841, 1845, 45392, 45399, 36171, 67984, 36173, 21732, 56390, 68886, 48515, 2203, 41497, 60363, 18336, 42291, 66368, 18339, 28850, 21731, 44777, 61951, 46234]"
396,Womens sexual healthcare,"[3526, 23926, 42342, 23923, 10868, 3976, 60471, 11980, 62129, 16987, 59078, 57463, 56294, 30096, 4312, 34420, 19798, 19792, 10861, 36956, 10842, 46088, 10841, 36185, 1937, 69538, 53937, 37986, 10848, 69536, 22864]"
