Reward,MaxAssignments,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.query,Input.gui_index_1,Input.gui_index_2,Input.gui_index_3,Input.gui_index_4,Input.gui_index_5,Input.gui_index_6,Input.gui_index_7,Input.gui_index_8,Input.gui_index_9,Input.gui_index_10,Input.gui_index_11,Input.gui_index_12,Input.gui_index_13,Input.gui_index_14,Input.gui_index_15,Answer.gui_1.0,Answer.gui_1.1,Answer.gui_1.2,Answer.gui_10.0,Answer.gui_10.1,Answer.gui_10.2,Answer.gui_11.0,Answer.gui_11.1,Answer.gui_11.2,Answer.gui_12.0,Answer.gui_12.1,Answer.gui_12.2,Answer.gui_13.0,Answer.gui_13.1,Answer.gui_13.2,Answer.gui_14.0,Answer.gui_14.1,Answer.gui_14.2,Answer.gui_15.0,Answer.gui_15.1,Answer.gui_15.2,Answer.gui_2.0,Answer.gui_2.1,Answer.gui_2.2,Answer.gui_3.0,Answer.gui_3.1,Answer.gui_3.2,Answer.gui_4.0,Answer.gui_4.1,Answer.gui_4.2,Answer.gui_5.0,Answer.gui_5.1,Answer.gui_5.2,Answer.gui_6.0,Answer.gui_6.1,Answer.gui_6.2,Answer.gui_7.0,Answer.gui_7.1,Answer.gui_7.2,Answer.gui_8.0,Answer.gui_8.1,Answer.gui_8.2,Answer.gui_9.0,Answer.gui_9.1,Answer.gui_9.2,Approve,Reject
$0.20,3,3600,1209600,,,3UN61F00HWPSPZDMYSHFO4Q4LTGR55,A1JPCC3YC36VE7,Submitted,,50,0% (0/0),0% (0/0),0% (0/0),23,Information screen to add a tabatas in a tabatas list app,49331,39356,49329,38506,39361,39360,1186,49328,49330,32143,37261,38614,40525,31797,6022,false,true,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,,
$0.20,3,3600,1209600,,,3IXEICO792J1OIQS70WFGP5M59OT60,A1JPCC3YC36VE7,Submitted,,42,0% (0/0),0% (0/0),0% (0/0),71,Mp3 + player +  software,39444,34045,46842,56745,34048,38564,56743,34042,3970,3963,36622,44197,42202,33694,25581,false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,,
$0.20,3,3600,1209600,,,3J2UYBXQQLC089T19Y85WE3H8ZS604,A1JPCC3YC36VE7,Submitted,,46,0% (0/0),0% (0/0),0% (0/0),51,Web advertising for online shop,43530,60571,14553,14878,28366,39575,6305,35811,36809,14879,35461,34244,42733,65101,36806,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,,
$0.20,3,3600,1209600,,,3TPWUS5F891IWG3NCWETP94V5QICW4,A1JPCC3YC36VE7,Submitted,,45,0% (0/0),0% (0/0),0% (0/0),81,Model Selection,4616,24027,24037,24042,30037,24048,45159,3856,68730,24036,23601,40998,24038,3294,13200,false,true,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false,,
$0.20,3,3600,1209600,,,39ASUFLU6X7CIESRISGAHGI5Z41XEB,A1JPCC3YC36VE7,Submitted,,54,0% (0/0),0% (0/0),0% (0/0),244,Calendar with monthly layout for promotions,64069,55466,65193,35130,57379,33572,38988,43868,35129,61609,31130,35133,57886,31125,35128,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,,
$0.20,3,3600,1209600,,,3WLEIWSYHOHN18GWK43NCTLMEBTH21,A1JPCC3YC36VE7,Submitted,,58,0% (0/0),0% (0/0),0% (0/0),82,Text window wth search tool,71819,23519,19585,36058,27515,4120,29111,23522,66870,16190,27510,14494,27517,27513,14492,false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,true,,
$0.20,3,3600,1209600,,,3Z3ZLGNNSIUPZJBI7U4M4HIFBCQQ3I,A1JPCC3YC36VE7,Submitted,,39,0% (0/0),0% (0/0),0% (0/0),10,us immigration news,18726,69138,54133,16380,69141,71379,16378,69140,68818,43259,69147,16515,54193,69142,50469,false,false,true,true,false,false,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,false,false,true,false,false,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,,
$0.20,3,3600,1209600,,,3E47SOBEYQW0VLJINFAEOIVNQFNCI0,A1JPCC3YC36VE7,Submitted,,44,0% (0/0),0% (0/0),0% (0/0),8,Login with organitzation address and password,51947,41251,62173,54590,27703,67820,5870,40540,27869,50046,40561,51165,55806,42256,24026,false,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,false,false,true,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,false,true,false,,
$0.20,3,3600,1209600,,,3QXNC7EIPIVNQSVZ75BHGOUJY0490M,A1JPCC3YC36VE7,Submitted,,61,0% (0/0),0% (0/0),0% (0/0),355,search bar with contact list with profile picture and all other applications,47542,10760,44847,47921,10761,69105,22967,66692,618,50317,6063,30447,40544,6053,5873,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,true,true,false,false,,
$0.20,3,3600,1209600,,,3A9AA95ATWM7DMX7L0DQJ9QPKCXP5I,A1JPCC3YC36VE7,Submitted,,50,0% (0/0),0% (0/0),0% (0/0),232,Menu should be in ascending order to make more friendly,64028,19732,48009,55037,60196,46017,70807,60202,56425,5706,46249,4065,63752,68289,42127,true,false,false,true,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,false,false,false,true,,
