query,gui_indexes,relevance
application submission screen for successfully submitted application,"[53044, 30983, 19857, 3384, 44087, 19858, 42944, 24697, 51615, 42954, 17348, 61377, 19226, 65388, 68456, 19228, 71687, 51503, 19231, 31080, 51511, 58170, 51523, 67493, 22967, 6243, 17331, 17346, 57615, 7722]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
"search bar with links ,articles and personal option","[9370, 41680, 19704, 40780, 8211, 19707, 2856, 8213, 34569, 2850, 49872, 67673, 2219, 45644, 49365, 60516, 54752, 2783, 19859, 39160, 49336, 22059, 9368, 49332, 22381, 9369, 49344, 50563, 12664, 49338]","[3, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0]"
"diaper-magen with style, color and texture","[37086, 28162, 64210, 64203, 50869, 16980, 48112, 46105, 27148, 54211, 56454, 50983, 69720, 56459, 54835, 47173, 26005, 59802, 1959, 34177, 59800, 6671, 2434, 54831, 50030, 63702, 18240, 26169, 68848, 65513]","[2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 3, 0, 3, 3, 0, 2, 0, 0, 0, 0, 3, 0, 0, 3]"
shopping app with item weight description,"[20618, 23925, 4186, 4183, 941, 69527, 8337, 47928, 35127, 30125, 25179, 8170, 123, 47934, 55532, 19345, 19347, 70143, 23918, 54992, 4188, 59836, 13407, 10423, 33929, 47931, 70149, 70137, 47930, 71578]","[0, 1, 0, 0, 0, 0, 0, 3, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hushed-Login this app......you enter a new world of foods,"[34202, 8365, 8346, 60614, 59825, 8363, 44868, 5147, 8339, 60613, 48533, 34390, 60611, 53883, 56659, 60609, 28243, 31693, 5254, 45636, 57016, 8347, 23432, 28001, 59843, 23431, 20714, 70145, 21435, 17024]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0]"
my profile in Azar application,"[69388, 69399, 69377, 69394, 69382, 69392, 69376, 69401, 69387, 45407, 69385, 51615, 61721, 69386, 19673, 15934, 69380, 19655, 10024, 69396, 50317, 30983, 69378, 19658, 16842, 69389, 61377, 64122, 69383, 5983]","[2, 2, 1, 1, 1, 1, 1, 2, 1, 0, 3, 0, 0, 1, 0, 3, 2, 3, 0, 2, 1, 0, 2, 1, 0, 1, 0, 0, 1, 1]"
stopwatch with timer,"[36635, 61610, 47256, 47250, 61613, 47257, 47249, 1007, 11490, 18992, 53233, 11489, 12654, 46684, 18991, 37256, 59309, 17912, 56799, 70080, 63066, 63069, 58751, 8539, 54493, 58742, 37257, 8499, 54200, 37262]","[2, 3, 2, 2, 3, 2, 2, 0, 1, 2, 1, 2, 0, 2, 2, 1, 0, 2, 3, 1, 2, 2, 2, 0, 2, 2, 0, 2, 3, 0]"
More options for user,"[65727, 27059, 27052, 15880, 39155, 2274, 67673, 16134, 27046, 19707, 31202, 27058, 58448, 53100, 2270, 6609, 53107, 27055, 51704, 16054, 45959, 58447, 30648, 10203, 19704, 33637, 10217, 65542, 51952, 52508]","[2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 3, 1, 2, 1, 0, 3, 3, 0]"
"create, search or download anime girls images","[31677, 57209, 57208, 24768, 62, 38776, 31678, 57210, 57552, 24769, 53917, 39119, 6254, 61967, 40153, 53221, 39116, 37654, 65, 25213, 1616, 8860, 28442, 40156, 10274, 41180, 41416, 19079, 36821, 37655]","[2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 3, 2, 0, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0]"
Navigation Drawer,"[33826, 8594, 66337, 50130, 21121, 71117, 62913, 57209, 12103, 62920, 64440, 44916, 47887, 33818, 64443, 18426, 64438, 22112, 18420, 44279, 1942, 18427, 64437, 12110, 18428, 48305, 24979, 15537, 64430, 33039]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 2, 0, 0, 3, 0, 0, 1, 0, 0, 2, 0, 0]"
