id;condition;c_11_3;c_11_4;c_11_5;c_11_6;c_11_7;c_12_3;c_12_4;c_12_5;c_12_6;c_12_7;c_21_3;c_21_4;c_21_5;c_21_6;c_21_7;c_22_3;c_22_4;c_22_5;c_22_6;c_22_7
1;1;17;17;24;25;25;19;19;22;23;24;4;5;5;5;6;4;6;8;10;17
2;1;9;11;16;16;23;18;19;22;19;22;0;1;2;3;4;5;6;9;9;13
3;2;14;15;15;15;19;19;19;22;23;24;2;3;5;7;10;8;10;16;17;23
4;3;4;7;8;14;20;7;7;10;11;12;6;8;14;18;19;22;24;26;26;26
5;1;5;5;9;17;19;6;9;10;11;12;4;5;6;9;13;6;7;10;12;11
6;3;9;9;11;12;20;4;4;5;10;10;22;23;24;25;25;22;24;25;25;26
7;4;2;4;4;6;9;7;8;12;14;18;18;18;18;24;25;6;12;16;16;19
8;1;10;12;19;20;21;22;23;26;28;29;3;4;5;6;11;4;5;6;6;8
9;3;7;14;15;15;17;3;7;7;9;9;16;18;19;23;23;20;25;26;26;27
10;2;16;17;17;23;24;24;26;27;27;27;4;12;14;16;18;2;2;7;9;12
11;4;11;13;13;13;14;5;7;9;10;11;16;16;18;18;23;1;2;9;13;14
12;4;3;4;5;5;5;8;10;11;12;14;16;18;19;19;19;13;13;14;15;16
13;2;18;19;22;22;25;20;21;23;24;27;3;12;18;19;18;4;5;6;9;16
14;4;1;2;3;4;6;5;6;7;8;9;17;22;23;22;24;4;13;13;14;15
15;1;16;17;17;19;22;3;3;3;7;11;3;3;5;7;12;2;4;5;9;11
16;3;2;3;4;4;4;9;12;12;13;14;22;23;23;23;23;18;18;18;21;24
17;3;3;4;5;5;5;7;7;9;9;12;14;14;15;17;19;25;26;26;26;26
18;2;13;13;13;13;15;26;26;26;26;26;2;2;16;16;17;10;11;15;18;22
19;2;11;9;14;20;24;25;25;28;28;28;2;2;4;13;16;12;12;19;23;23
